"id","submitdate","lastpage","startlanguage","seed","refurl","G01Q18","proceed","G01Q01[SQ001]","G01Q01[SQ002]","G01Q01[SQ003]","G01Q02","G01Q03[SQ001]","G01Q03[SQ002]","G01Q03[SQ005]","G01Q03[SQ003]","G01Q03[SQ004]","G01Q03[SQ006]","G01Q04","G01Q05","G01Q06","G02Q07","G01Q08[SQ001]","G01Q08[SQ002]","G01Q08[SQ003]","G01Q08[other]","G02Q09[SQ001]","G02Q09[SQ002]","G02Q09[SQ003]","G02Q09[SQ004]","G02Q09[SQ005]","G02Q09[SQ009]","G02Q09[SQ006]","G02Q09[SQ007]","G02Q09[SQ008]","G02Q09[other]","G02Q10[SQ001]","G02Q10[SQ002]","G02Q10[SQ003]","G02Q10[SQ004]","G02Q10[SQ005]","G02Q10[SQ008]","G02Q10[SQ006]","G02Q10[SQ007]","G03Q11[SQ001]","G03Q11[SQ002]","G03Q11[SQ003]","G03Q11[SQ004]","G03Q11[other]","G03Q12[SQ001]","G03Q12[SQ002]","G03Q12[SQ003]","G03Q12[SQ004]","G03Q13[SQ001]","G03Q13[SQ002]","G03Q13[SQ003]","G05Q16[SQ001]","G05Q16[SQ002]","G05Q16[SQ007]","G05Q16[SQ008]","G05Q16[SQ003]","G05Q16[SQ004]","G05Q16[SQ005]","G05Q16[SQ006]","G04Q14[SQ001]","G04Q14[SQ002]","G04Q14[SQ003]","G04Q14[SQ004]","G04Q14[SQ005]","G04Q14[SQ006]","G01Q15[SQ001]","G01Q15[SQ002]","G01Q15[SQ003]","G01Q15[SQ004]","G01Q15[SQ005]","G01Q15[SQ006]","G01Q15[SQ007]","G01Q15[SQ008]","G01Q15[SQ009]","G01Q15[SQ010]","G05Q22[SQ001]","G05Q22[SQ002]","G05Q22[SQ003]","G05Q22[SQ004]","G05Q22[SQ005]","G05Q22[SQ006]","G05Q22[SQ007]","G05Q22[SQ008]","G05Q22[SQ009]","G05Q22[SQ010]","G06Q17","G06Q17[other]","G07Q20","G01Q21[SQ001]","G01Q21[SQ002]","G01Q21[SQ003]","G01Q21[SQ004]","G01Q21[SQ005]","G01Q21[SQ006]","G01Q21[SQ007]","interviewtime","groupTime1719","G01Q18Time","proceedTime","groupTime1713","G01Q01Time","G01Q02Time","G01Q03Time","G01Q04Time","G01Q05Time","G01Q06Time","groupTime1714","G02Q07Time","G01Q08Time","G02Q09Time","G02Q10Time","groupTime1715","G03Q11Time","G03Q12Time","G03Q13Time","G05Q16Time","groupTime1716","G04Q14Time","G01Q15Time","groupTime1720","G05Q22Time","groupTime1718","G06Q17Time","G07Q20Time","G01Q21Time"
"39","1980-01-01 00:00:00","7","en","1896051471","","","Yes","Yes","No","No","5 to 10 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Rarely","Yes","Yes","Yes","","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","","5 (Severe)","4 (Moderate)","7 (Extremely Severe)","7 (Extremely Severe)","4 (Moderate)","4 (Moderate)","7 (Extremely Severe)","5 (Severe)","Yes","No","No","No","","Agree","Strongly disagree","Disagree","Agree","Significantly","Moderately","Not at all","Always","Always","Never","Never","Rarely","Never","Rarely","Rarely","Agree","Agree","Strongly disagree","Neutral","Strongly agree","Neutral","boosted egirl","","","","","","","","","","2 (Very Mild)","","","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","390.09","11.5",,,"40.9",,,,,,,"155.05",,,,,"83.16",,,,,"74.87",,,"15.44",,"9.17",,,
"40","1980-01-01 00:00:00","7","en","421540025","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Rarely","Yes","No","Yes","","No","No","Yes","No","Yes","No","No","Yes","No","","5 (Severe)","4 (Moderate)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","5 (Severe)","6 (Very Severe)","No","No","No","No","I sometimes think if i should change my battletag but it is only a thought and i don't want to do it actually","Neutral","Agree","Disagree","Agree","Moderately","Slightly","Not at all","Always","Always","Often","Sometimes","Often","Often","Rarely","Rarely","Strongly agree","Strongly agree","Neutral","Strongly disagree","Neutral","Disagree","""get back to the kitchen"" - at me","""you fucking suck (get back to the kitchen)"" after hearing my female voice - at me","""du kleine nutte"" he said much more but i can't remember even tho it was only 2 weeks ago. but this one stuck with me a lot. he also mentioned something that women shouldn't play games but i can't recall the phrasing anymore. -at me","""do you wanna marry me?"" the second they hear my ""hello"" in team voice ","""let's have children/i can give you children"" same scenario as in nr. 4","""are you a woman or a boy?"" after hearing my voice - nowadays i say i am a boy to be left alone - it sadly works","","","","","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","4 (Moderate)","5 (Severe)","3 (Mild)","","","","","Female","","25 - 35 years old","Yes","No","No","No","No","No","No","1088.48","6.1",,,"62.41",,,,,,,"148.59",,,,,"299.01",,,,,"518.68",,,"39.23",,"14.46",,,
"41","1980-01-01 00:00:00","7","en","380867003","","","Yes","Yes","No","No","5 to 10 hours","No","No","No","Yes","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Often","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","","6 (Very Severe)","7 (Extremely Severe)","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","5 (Severe)","No","No","No","No","Disabled voicechat, enabled hidden name (in valorant)","Agree","Agree","Neutral","Agree","Completely","Moderately","Not at all","Always","Always","Often","Often","Often","Often","Sometimes","Sometimes","Strongly agree","Strongly agree","Neutral","Disagree","Agree","Neutral","Go to the kitchen (me)","You are a woman, deinstall the game (me)","You are a bitch/whore (me)","I would not hold your units if u gave me your Snapchat (me, TFT)","Make me a sandwich, maybe you are better at that (me)","Kahba/Sharmuta (me)","The game is not for women (me)","","","","5 (Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","6 (Very Severe)","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","585.51","6.37",,,"35.68",,,,,,,"78.56",,,,,"119.01",,,,,"244.08",,,"86.55",,"15.26",,,
"43","1980-01-01 00:00:00","7","en","416193406","","","Yes","Yes","No","No","5 to 10 hours","No","No","No","Yes","Yes","No","Not involved (""just"" playing)","Yes","Yes, I strongly identify as a gamer.","Rarely","Yes","Yes","Yes","","Yes","Yes","Yes","No","Yes","No","No","Yes","No","","4 (Moderate)","1 (Not Severe at All)","5 (Severe)","4 (Moderate)","6 (Very Severe)","4 (Moderate)","7 (Extremely Severe)","6 (Very Severe)","Yes","No","Yes","No","","Disagree","Agree","Strongly disagree","Strongly disagree","Completely","Completely","Slightly","Always","Always","Often","Often","Often","Often","Sometimes","Sometimes","Strongly agree","Agree","Strongly disagree","Strongly disagree","Agree","Agree","being called dishwasher (me and others)","Go back to the kitchen (me and others)","Women are only good for cooking and sex not gaming (me)","'you deserve to be raped' (to me)","Boosted (me and others)","Who's dick did you suck to get your rank (me)","","","","","3 (Mild)","3 (Mild)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","5 (Severe)","","","","","Female","","18 - 25 years old","No","No","No","No","Yes","No","No","592.42","20.27",,,"50.9",,,,,,,"109.76",,,,,"81.02",,,,,"283.23",,,"32.94",,"14.3",,,
"44","1980-01-01 00:00:00","7","en","1033454918","","","Yes","Yes","No","No","5 to 10 hours","Yes","No","No","No","No","No","Not involved (""just"" playing)","No","No, I don't identify as a gamer, even though I play games.","Often","No","No","No","","No","No","No","No","No","No","No","No","Yes","","1 (Not Severe at All)","5 (Severe)","5 (Severe)","5 (Severe)","5 (Severe)","3 (Mild)","5 (Severe)","2 (Very Mild)","No","No","No","Yes","","Neutral","Strongly disagree","Strongly agree","Strongly disagree","Significantly","Moderately","Significantly","Often","Often","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Neutral","Disagree","Agree","Agree","Disagree","Strongly disagree","","","","","","","","","","","","","","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","358.41","13.04",,,"43.08",,,,,,,"119.09",,,,,"105.76",,,,,"49.71",,,"15.59",,"12.14",,,
"47","1980-01-01 00:00:00","7","en","1623758830","","","Yes","Yes","No","No","Less than 5 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Somewhat, I identify as a gamer in certain contexts.","Never","Yes","No","No","Ingame Chat, but not directed at me","No","No","No","No","Yes","Yes","No","No","No","","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","6 (Very Severe)","Yes","No","No","No","","Disagree","Strongly agree","Strongly disagree","Agree","Moderately","Completely","Slightly","Always","Often","Always","Often","Sometimes","Sometimes","Often","Often","Agree","Agree","Disagree","Strongly disagree","Neutral","Agree","","","","","","","","","","","","","","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","540.44","11.23",,,"75.89",,,,,,,"181.69",,,,,"173.45",,,,,"64.83",,,"12.06",,"21.29",,,
"49","1980-01-01 00:00:00","7","en","117113202","","","Yes","No","Yes","No","More than 20 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Rarely","No","No","No","","No","No","No","No","Yes","No","No","No","No","","1 (Not Severe at All)","1 (Not Severe at All)","4 (Moderate)","2 (Very Mild)","1 (Not Severe at All)","5 (Severe)","7 (Extremely Severe)","1 (Not Severe at All)","No","Yes","Yes","No","","Strongly agree","Strongly disagree","Agree","Strongly agree","Slightly","Not at all","Slightly","Always","Sometimes","Often","Often","Always","Always","Often","Often","Neutral","Disagree","Agree","Strongly agree","Disagree","Strongly agree","","","","","","","","","","","","","","","","","","","","","Genderfluid","","18 - 25 years old","Yes","No","No","Yes","No","No","No","632.33","7.17",,,"88.21",,,,,,,"233.34",,,,,"152.11",,,,,"94.64",,,"17.11",,"39.75",,,
"50","1980-01-01 00:00:00","7","en","294178946","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Sometimes","Yes","No","Yes","","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","","5 (Severe)","6 (Very Severe)","6 (Very Severe)","5 (Severe)","4 (Moderate)","3 (Mild)","7 (Extremely Severe)","5 (Severe)","No","No","No","Yes","","Agree","Disagree","Disagree","Agree","Moderately","Significantly","Not at all","Often","Always","Never","Never","Sometimes","Never","Never","Never","Neutral","Disagree","Agree","Neutral","Neutral","Agree","Go back to the kitchen and make me a sandwich.","Already getting on your knees for me? (after I crouched at him)","Oh my god. I forgot what I wanted to say now. (after I greeted them back)","I didn't know we had a woman on our team. Come here! (proceeded to flirt with me the entire match despite me never answering) ","I hate when women act like this just because they met another woman. If I acted like this towards another man, they'd say I'm weird. (after another girl made a heart with her knife for me)","Can you be my pocket sage? I'll be your daddy.","Can you say uwu for me? / Say ara ara.","so you're not gonna send me soapy titty pics?","Let's have a girls night, just you and me.","I'll buy you a skin and you'll meet up with me.","4 (Moderate)","5 (Severe)","2 (Very Mild)","3 (Mild)","4 (Moderate)","5 (Severe)","5 (Severe)","6 (Very Severe)","6 (Very Severe)","5 (Severe)","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","1173.49","16.97",,,"83.86",,,,,,,"139.11",,,,,"72.36",,,,,"808.95",,,"41.89",,"10.35",,,
"51","1980-01-01 00:00:00","7","en","1172074150","","","Yes","Yes","No","No","5 to 10 hours","No","No","No","Yes","Yes","No","Not involved (""just"" playing)","No","Yes, I strongly identify as a gamer.","Sometimes","No","No","No","I dont use voicechat anymore but I experienced a lot of it when I played Valorant last year. Now I dont use any voicechat anymore","Yes","Yes","No","No","Yes","No","No","Yes","No","","4 (Moderate)","3 (Mild)","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","No","No","No","No","Just stopped using vc","Neutral","Agree","Strongly disagree","Strongly agree","Completely","Moderately","Completely","Always","Always","Rarely","Rarely","Often","Often","Sometimes","Sometimes","Strongly agree","Strongly agree","Disagree","Strongly disagree","Agree","Disagree","Go back to the kitchen","The game is lost. (After they get to know there is a girl in game)","","","","","","","","","7 (Extremely Severe)","5 (Severe)","","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","529","21.67",,,"85.78",,,,,,,"121.13",,,,,"117.37",,,,,"157.44",,,"14.36",,"11.25",,,
"52","1980-01-01 00:00:00","7","en","349720807","https://l.instagram.com/","","Yes","Yes","No","No","Less than 5 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","Yes","No, I don't identify as a gamer, even though I play games.","Often","No","No","No","","No","No","No","No","No","No","No","No","Yes","","5 (Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","4 (Moderate)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","No","No","No","Yes","","Neutral","Agree","Disagree","Agree","Moderately","Not at all","Not at all","Often","Often","Always","Always","Always","Always","Always","Always","Agree","Agree","Agree","Neutral","Neutral","Neutral","","","","","","","","","","","","","","","","","","","","","Male","","18 - 25 years old","No","No","No","No","Yes","No","No","230.8","4.29",,,"33.37",,,,,,,"92.25",,,,,"56.06",,,,,"24.7",,,"8.57",,"11.56",,,
"55","1980-01-01 00:00:00","7","en","446131188","","","Yes","Yes","No","No","5 to 10 hours","No","No","No","No","No","Yes","Not involved (""just"" playing)","Yes","No, I don't identify as a gamer, even though I play games.","Rarely","No","No","No","","No","No","No","No","No","No","No","No","Yes","","6 (Very Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","4 (Moderate)","Yes","No","No","No","","Disagree","Neutral","Strongly disagree","Agree","Significantly","Slightly","Not at all","Never","Sometimes","Always","Always","Sometimes","Often","Always","Always","Strongly agree","Agree","Neutral","Disagree","Neutral","Neutral","","","","","","","","","","","","","","","","","","","","","Female","","25 - 35 years old","Yes","No","No","No","No","No","No","437.79","11.98",,,"47.21",,,,,,,"139.97",,,,,"175.62",,,,,"40.66",,,"9.08",,"13.27",,,
"57","1980-01-01 00:00:00","7","en","2017121368","https://www.instagram.com/","","Yes","Yes","No","No","More than 20 hours","No","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Rarely","No","No","No","","No","No","No","No","Yes","No","No","No","No","","5 (Severe)","2 (Very Mild)","6 (Very Severe)","7 (Extremely Severe)","4 (Moderate)","5 (Severe)","7 (Extremely Severe)","4 (Moderate)","No","No","No","Yes","","Strongly agree","Strongly disagree","Disagree","Strongly agree","Not at all","Not at all","Not at all","Never","Often","Never","Never","Often","Often","Never","Never","Strongly agree","Agree","Agree","Disagree","Disagree","Agree","","","","","","","","","","","","","","","","","","","","","Male","","18 - 25 years old","Yes","No","No","No","No","No","No","332.16","5.48",,,"67.79",,,,,,,"104.91",,,,,"90.87",,,,,"38.29",,,"10.27",,"14.55",,,
"61","1980-01-01 00:00:00","7","en","1300348485","","","Yes","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Rarely","No","No","No","","No","No","No","No","Yes","No","No","No","No","","5 (Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","Yes","No","No","No","","Agree","Neutral","Disagree","Agree","Slightly","Not at all","Not at all","Always","Always","Never","Never","Always","Often","Never","Never","Strongly agree","Agree","Neutral","Strongly disagree","Neutral","Disagree","girls always play support","","","","","","","","","","4 (Moderate)","","","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","484.44","7.92",,,"81.93",,,,,,,"144.09",,,,,"133.43",,,,,"79.35",,,"20.93",,"16.79",,,
"63","1980-01-01 00:00:00","7","en","1367784743","","","Yes","Yes","No","Yes","Less than 5 hours","No","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Somewhat, I identify as a gamer in certain contexts.","Sometimes","Yes","Yes","Yes","","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","","5 (Severe)","3 (Mild)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","No","No","No","Yes","","Disagree","Agree","Disagree","Agree","Significantly","Completely","Slightly","Sometimes","Often","Often","Sometimes","Always","Often","Rarely","Rarely","Agree","Agree","Agree","Disagree","Disagree","Neutral","(playing in kitchen valorant) ""stay there and make me a sandwich""","go play doll/makeup-you are certainly better there","gaming is nothing for little kids","are you playing on your boyfriend´s account? ","get yourself some ""balls"" and come back","here is my snap ""aisdjisa"" send some pics","can I have your onlyfans","","","","5 (Severe)","4 (Moderate)","3 (Mild)","3 (Mild)","5 (Severe)","6 (Very Severe)","6 (Very Severe)","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","820.51","14.64",,,"55.34",,,,,,,"135.66",,,,,"108.09",,,,,"381.11",,,"109.03",,"16.64",,,
"64","1980-01-01 00:00:00","7","en","1519756670","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","Yes","Yes","No","Not involved (""just"" playing)","No","Yes, I strongly identify as a gamer.","Always","Yes","No","Yes","","No","No","Yes","No","Yes","Yes","No","Yes","No","","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","No","No","No","Yes","","Agree","Strongly agree","Strongly disagree","Agree","Completely","Completely","Slightly","Always","Always","Never","Never","Always","Always","Never","Never","Strongly agree","Agree","Disagree","Neutral","Agree","Agree","""Oh no, we've lost already."" (me)","""I just came to your voice."" (me)","""Shut the fuck up, girl/bitch/woman."" (me and else)","""Uninstall the game you stupid bitch and go back to the kitchen. Don't ever touch the game again."" (me)","""Make me a sandwich, woman."" (me)","","","","","","4 (Moderate)","7 (Extremely Severe)","3 (Mild)","7 (Extremely Severe)","4 (Moderate)","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","494.2","8.57",,,"36.56",,,,,,,"97.7",,,,,"69.97",,,,,"235.48",,,"36.58",,"9.34",,,
"65","1980-01-01 00:00:00","7","en","229424122","","","Yes","Yes","No","Yes","5 to 10 hours","No","No","No","Yes","Yes","No","Not involved (""just"" playing)","No","Yes, I strongly identify as a gamer.","Sometimes","No","No","Yes","","No","No","Yes","Yes","No","No","No","Yes","No","","4 (Moderate)","1 (Not Severe at All)","7 (Extremely Severe)","7 (Extremely Severe)","4 (Moderate)","5 (Severe)","7 (Extremely Severe)","4 (Moderate)","No","No","No","Yes","","Neutral","Disagree","Disagree","Strongly agree","Completely","Completely","Not at all","Often","Often","Sometimes","Rarely","Always","Always","Never","Never","Agree","Agree","Neutral","Disagree","Agree","Disagree","""Go back to the kitchen"" - another","""you should give me head"" - myself","""you should kill yourself""- myself ","""go make me a sandwich"" - another","""","","","","","","4 (Moderate)","7 (Extremely Severe)","7 (Extremely Severe)","4 (Moderate)","","","","","","","Female","","18 - 25 years old","No","No","No","Yes","No","No","No","508.94","10.15",,,"37.95",,,,,,,"151.86",,,,,"103.34",,,,,"172.95",,,"22.93",,"9.76",,,
"66","1980-01-01 00:00:00","7","en","1889187978","","","Yes","Yes","No","No","5 to 10 hours","No","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Often","No","No","Yes","","No","No","Yes","Yes","Yes","Yes","No","No","No","","6 (Very Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","3 (Mild)","7 (Extremely Severe)","No","Yes","No","No","","Agree","Strongly agree","Strongly disagree","Strongly disagree","Completely","Completely","Completely","Always","Always","Always","Always","Always","Always","Always","Always","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Disagree","Agree","","","","","","","","","","","","","","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","277.51","7.72",,,"49.2",,,,,,,"93.83",,,,,"69.57",,,,,"33.59",,,"11.5",,"12.1",,,
"67","1980-01-01 00:00:00","7","en","342544708","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Sometimes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","","4 (Moderate)","4 (Moderate)","5 (Severe)","6 (Very Severe)","4 (Moderate)","5 (Severe)","7 (Extremely Severe)","3 (Mild)","No","Yes","Yes","No","","Neutral","Agree","Disagree","Strongly agree","Completely","Moderately","Significantly","Often","Always","Sometimes","Sometimes","Always","Always","Often","Often","Agree","Strongly agree","Strongly disagree","Disagree","Strongly agree","Agree","Bop (for ignoring them, directed at me)","Foid (femoid, incel term, not directed at me)","","","","","","","","","3 (Mild)","4 (Moderate)","","","","","","","","","Female","","18 - 25 years old","Yes","No","No","Yes","No","No","No","433.95","7.74",,,"42.45",,,,,,,"120.78",,,,,"129.64",,,,,"104.93",,,"12.42",,"15.99",,,
"68","1980-01-01 00:00:00","7","en","1263231263","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Often","No","Yes","Yes","","No","No","No","No","Yes","Yes","No","No","No","","5 (Severe)","3 (Mild)","6 (Very Severe)","4 (Moderate)","6 (Very Severe)","5 (Severe)","1 (Not Severe at All)","1 (Not Severe at All)","No","No","No","Yes","","Agree","Disagree","Neutral","Disagree","Slightly","Significantly","Not at all","Always","Always","Always","Sometimes","Always","Sometimes","Sometimes","Rarely","Agree","Agree","Neutral","Disagree","Agree","Neutral","u r woman, u r bad","go kitchen","I<ys","take a rope","","","","","","","2 (Very Mild)","4 (Moderate)","","","","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","521.03","6.5",,,"57.6",,,,,,,"127.59",,,,,"155.91",,,,,"132.2",,,"23.7",,"17.53",,,
"70","1980-01-01 00:00:00","7","en","645328627","","","Yes","Yes","Yes","No","10 to 20 hours","No","No","No","No","No","Yes","Not involved (""just"" playing)","Yes","Yes, I strongly identify as a gamer.","Rarely","Yes","Yes","Yes","","No","No","Yes","Yes","Yes","Yes","No","No","No","","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","Yes","No","Yes","No","","Disagree","Agree","Neutral","Strongly agree","Significantly","Significantly","Moderately","Always","Always","Rarely","Rarely","Sometimes","Sometimes","Rarely","Rarely","Agree","Strongly agree","Neutral","Neutral","Agree","Neutral","Go get a sandwich","Girls can’t play videogames ","You can’t be female because girls can’t play videogames","Could you describe what are you wearing?","I wanna get under your desk and lick your pussy until you can’t keep a straight face ","","","","","","5 (Severe)","5 (Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","","","","","","Female","","Over 35 years old","Yes","No","No","No","No","No","No","427.61","8.23",,,"26.57",,,,,,,"78.2",,,,,"76.25",,,,,"181.89",,,"45.12",,"11.35",,,
"71","1980-01-01 00:00:00","7","en","1344137510","","","Yes","Yes","No","No","10 to 20 hours","No","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Always","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","4 (Moderate)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","No","Yes","No","No","","Agree","Agree","Disagree","Strongly agree","Significantly","Moderately","Not at all","Always","Always","Sometimes","Rarely","Always","Always","Sometimes","Sometimes","Agree","Agree","Disagree","Disagree","Strongly agree","Agree","""I'm going to rape you"" me.","""I hope you get raped"" me.","""Go back to the kitchen"" me.","""Go have esex with your eboyfriend!"" me.","""Fucking woman..."" me.","""Shut up, Bitch!"" me.","""Don't listen to the idiot girl"" me.","""Why are you playing Valorant?  Like just go scissor each other already... but let me watch!"" me.","""It's because we have a woman on our team"" me.","""You sound hot as fuck... do you have a boyfriend?"" me.","7 (Extremely Severe)","7 (Extremely Severe)","3 (Mild)","6 (Very Severe)","4 (Moderate)","5 (Severe)","5 (Severe)","7 (Extremely Severe)","4 (Moderate)","5 (Severe)","Female","","Under 18 years old","No","No","No","Yes","No","No","No","1420.04","5.83",,,"64.19",,,,,,,"194.67",,,,,"209.14",,,,,"725.02",,,"189.11",,"32.08",,,
"75","1980-01-01 00:00:00","7","en","293595438","","","Yes","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","Sometimes","Yes","Yes","No","","Yes","No","Yes","Yes","Yes","No","No","No","No","","5 (Severe)","2 (Very Mild)","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","5 (Severe)","2 (Very Mild)","3 (Mild)","No","Yes","Yes","No","","Strongly agree","Disagree","Strongly disagree","Neutral","Significantly","Not at all","Not at all","Always","Always","Rarely","Rarely","Always","Always","Rarely","Rarely","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Go kitchen me","Gonna rape you else","Boosted egirl me","Disguting bitch else","Whore else","","","","","","3 (Mild)","7 (Extremely Severe)","4 (Moderate)","6 (Very Severe)","6 (Very Severe)","","","","","","Female","","18 - 25 years old","Yes","No","No","No","No","No","No","467.67","5.49",,,"38.81",,,,,,,"143.99",,,,,"135.25",,,,,"104.07",,,"23.47",,"16.59",,,
"78","1980-01-01 00:00:00","7","en","1376735158","https://dashboard.ticketsbot.net/","","Yes","Yes","No","No","More than 20 hours","No","No","No","Yes","Yes","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","Yes","Yes, I strongly identify as a gamer.","Often","Yes","Yes","No","","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","","4 (Moderate)","2 (Very Mild)","6 (Very Severe)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","1 (Not Severe at All)","4 (Moderate)","No","No","No","Yes","","Strongly agree","Agree","Disagree","Strongly agree","Completely","Moderately","Slightly","Often","Always","Often","Sometimes","Always","Sometimes","Always","Often","Strongly agree","Strongly agree","Neutral","Strongly disagree","Agree","Neutral","Girlcuck [name] because of my username ","","","","","","","","","","7 (Extremely Severe)","","","","","","","","","","Female","","25 - 35 years old","Yes","No","No","No","No","No","No","299.42","4.6",,,"70.18",,,,,,,"55.39",,,,,"100.92",,,,,"53.87",,,"5.5",,"8.96",,,
