"id","submitdate","lastpage","startlanguage","seed","G01Q18","proceed","second","G01Q01[SQ001]","G01Q01[SQ002]","G01Q02","G01Q03[SQ001]","G01Q03[SQ002]","G01Q03[SQ005]","G01Q03[SQ003]","G01Q03[SQ006]","G01Q04","G01Q05","G01Q06","G03Q20","G01Q32","G03Q13","G02Q10[SQ001]","G02Q10[SQ002]","G02Q10[SQ003]","G02Q10[SQ004]","G02Q10[SQ005]","G02Q10[SQ008]","G02Q10[SQ006]","G02Q10[SQ007]","G03Q12[SQ001]","G03Q12[SQ005]","G03Q12[SQ002]","G03Q12[SQ003]","G03Q12[SQ004]","G05Q16[SQ001]","G05Q16[SQ002]","G05Q16[SQ007]","G05Q16[SQ008]","G05Q16[SQ003]","G05Q16[SQ004]","G05Q16[SQ006]","G04Q14[SQ001]","G04Q14[SQ002]","G04Q14[SQ003]","G04Q14[SQ004]","G04Q14[SQ005]","G04Q14[SQ007]","G04Q14[SQ006]","G05Q19","G04Q17[SQ001][1]","G04Q17[SQ001][2]","G04Q17[SQ002][1]","G04Q17[SQ002][2]","G04Q17[SQ003][1]","G04Q17[SQ003][2]","G04Q17[SQ004][1]","G04Q17[SQ004][2]","G04Q17[SQ005][1]","G04Q17[SQ005][2]","G04Q17[SQ006][1]","G04Q17[SQ006][2]","G04Q17[SQ007][1]","G04Q17[SQ007][2]","G04Q17[SQ008][1]","G04Q17[SQ008][2]","G04Q17[SQ009][1]","G04Q17[SQ009][2]","G04Q17[SQ010][1]","G04Q17[SQ010][2]","G04Q17[SQ011][1]","G04Q17[SQ011][2]","G04Q17[SQ012][1]","G04Q17[SQ012][2]","G04Q17[SQ013][1]","G04Q17[SQ013][2]","G04Q17[SQ014][1]","G04Q17[SQ014][2]","G06Q17","G06Q17[other]","G07Q20","G01Q21[SQ001]","G01Q21[SQ002]","G01Q21[SQ003]","G01Q21[SQ004]","G01Q21[SQ005]","G01Q21[SQ007]"
"73","1980-01-01 00:00:00","6","en","37577705","","Yes","No","Yes","No","10 to 20 hours","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","No, I don't identify as a gamer, even though I play games.","Sentinel","Iron-Bronze","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","6 (Very Severe)","Neutral","Strongly agree","Disagree","Disagree","Agree","Always","Always","Never","Never","Rarely","Never","Never","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Agree","Strongly agree","Disagree","","5 (Severe)","","5 (Severe)","","6 (Very Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","6 (Very Severe)","","6 (Very Severe)","","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"74","1980-01-01 00:00:00","6","en","1110094174","","Yes","No","Yes","No","5 to 10 hours","No","No","No","No","Yes","Not involved (""just"" playing)","Yes","Somewhat, I identify as a gamer in certain contexts.","Sentinel","I don't play ranked.","","6 (Very Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","Disagree","Agree","Strongly agree","Agree","Strongly agree","Always","Always","Sometimes","Rarely","Often","","Rarely","Strongly disagree","Disagree","Agree","Disagree","Agree","Neutral","Agree","","3 (Mild)","Real","2 (Very Mild)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","3 (Mild)","Real","4 (Moderate)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","Female","","25 - 35 years old","No","No","No","Yes","No","No"
"75","1980-01-01 00:00:00","6","en","868874698","","Yes","No","Yes","No","5 to 10 hours","No","No","No","No","Yes","Not involved (""just"" playing)","No","Yes, I strongly identify as a gamer.","Initiator","Silver-Gold","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","4 (Moderate)","7 (Extremely Severe)","4 (Moderate)","Agree","Strongly agree","Strongly agree","Disagree","Agree","Always","Always","Sometimes","Never","Always","Always","Never","Strongly disagree","Strongly agree","Agree","Disagree","Neutral","Agree","Disagree","","4 (Moderate)","Real","3 (Mild)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","3 (Mild)","Real","3 (Mild)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","Female","","18 - 25 years old","Yes","No","No","No","No","No"
"76","1980-01-01 00:00:00","6","en","195999938","","Yes","No","Yes","No","More than 20 hours","No","No","No","No","Yes","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","No, I don't identify as a gamer, even though I play games.","Duelist","I don't play ranked.","","3 (Mild)","2 (Very Mild)","4 (Moderate)","4 (Moderate)","5 (Severe)","3 (Mild)","6 (Very Severe)","4 (Moderate)","Strongly disagree","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Never","Sometimes","Always","Always","","","Always","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Neutral","Neutral","","1 (Not Severe at All)","","4 (Moderate)","","3 (Mild)","","4 (Moderate)","","1 (Not Severe at All)","","4 (Moderate)","","3 (Mild)","","4 (Moderate)","","3 (Mild)","","5 (Severe)","","7 (Extremely Severe)","","3 (Mild)","","2 (Very Mild)","","3 (Mild)","","Genderfluid","","18 - 25 years old","Yes","No","No","No","No","No"
"77","1980-01-01 00:00:00","6","en","1816642785","","Yes","No","Yes","No","More than 20 hours","Yes","No","No","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Duelist","Ascendant-Immortal1","","5 (Severe)","3 (Mild)","6 (Very Severe)","6 (Very Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Agree","Strongly agree","Strongly disagree","Disagree","Strongly disagree","Always","Always","Never","Never","Never","Never","Never","Strongly disagree","Disagree","Neutral","Neutral","Disagree","Agree","Neutral","","2 (Very Mild)","Real","3 (Mild)","Real","5 (Severe)","Not Real","7 (Extremely Severe)","Real","3 (Mild)","Real","1 (Not Severe at All)","Not Real","5 (Severe)","Real","7 (Extremely Severe)","Not Real","2 (Very Mild)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","3 (Mild)","Not Real","","Not Real","Male","","Under 18 years old","No","No","Yes","No","No","No"
"78","1980-01-01 00:00:00","6","en","323969587","","Yes","No","Yes","No","More than 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Sentinel","Ascendant-Immortal1","","5 (Severe)","2 (Very Mild)","6 (Very Severe)","5 (Severe)","6 (Very Severe)","2 (Very Mild)","2 (Very Mild)","2 (Very Mild)","Neutral","Agree","Disagree","Neutral","Disagree","Often","Always","Rarely","Rarely","Always","Always","Sometimes","Strongly disagree","Neutral","Agree","Agree","Disagree","Neutral","Agree","","3 (Mild)","Not Real","2 (Very Mild)","Real","","Not Real","6 (Very Severe)","Real","5 (Severe)","Not Real","5 (Severe)","Not Real","4 (Moderate)","Real","6 (Very Severe)","Not Real","4 (Moderate)","Not Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","","","18 - 25 years old","No","No","No","Yes","No","No"
"80","1980-01-01 00:00:00","6","en","780120621","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Controller","Ascendant-Immortal1","","6 (Very Severe)","6 (Very Severe)","4 (Moderate)","6 (Very Severe)","4 (Moderate)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","Strongly disagree","Strongly agree","Agree","Disagree","Disagree","Often","Often","Rarely","Rarely","Often","Always","Sometimes","Strongly disagree","Agree","Neutral","Neutral","Disagree","Agree","Neutral","","3 (Mild)","Real","4 (Moderate)","Real","5 (Severe)","Real","4 (Moderate)","Real","3 (Mild)","Real","2 (Very Mild)","Not Real","5 (Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","3 (Mild)","Not Real","4 (Moderate)","Real","Female","","18 - 25 years old","No","No","No","Yes","No","No"
"82","1980-01-01 00:00:00","6","en","443132252","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Duelist","Ascendant-Immortal1","","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","2 (Very Mild)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","Neutral","Strongly disagree","Strongly disagree","Neutral","Strongly disagree","Sometimes","Never","Often","Often","Often","Often","Sometimes","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","","2 (Very Mild)","Real","2 (Very Mild)","Real","4 (Moderate)","Real","2 (Very Mild)","Not Real","2 (Very Mild)","Real","2 (Very Mild)","Real","2 (Very Mild)","Real","4 (Moderate)","Real","2 (Very Mild)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","1 (Not Severe at All)","Real","3 (Mild)","Real","2 (Very Mild)","Real","Male","","25 - 35 years old","No","No","No","Yes","No","No"
"83","1980-01-01 00:00:00","6","en","2012759773","","Yes","No","Yes","No","5 to 10 hours","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Initiator","Silver-Gold","","5 (Severe)","4 (Moderate)","7 (Extremely Severe)","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","4 (Moderate)","7 (Extremely Severe)","Disagree","Strongly agree","Agree","Disagree","Agree","Always","Always","Always","Often","Always","Always","Often","Strongly disagree","Disagree","Agree","Neutral","Disagree","Agree","Disagree","","3 (Mild)","Real","3 (Mild)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","4 (Moderate)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"85","1980-01-01 00:00:00","6","en","2055138956","","Yes","No","Yes","No","5 to 10 hours","Yes","No","No","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Controller","Ascendant-Immortal1","","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","3 (Mild)","1 (Not Severe at All)","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Never","Never","Never","Never","Always","Always","Never","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Neutral","","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","3 (Mild)","","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","1 (Not Severe at All)","","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","4 (Moderate)","Not Real","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","Non-binary","","18 - 25 years old","No","No","No","Yes","No","No"
"87","1980-01-01 00:00:00","6","en","1239397448","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Not involved (""just"" playing)","No","Somewhat, I identify as a gamer in certain contexts.","Initiator","Ascendant-Immortal1","","1 (Not Severe at All)","1 (Not Severe at All)","2 (Very Mild)","1 (Not Severe at All)","1 (Not Severe at All)","1 (Not Severe at All)","2 (Very Mild)","1 (Not Severe at All)","Agree","Disagree","Strongly disagree","Agree","Strongly disagree","Never","Never","Never","Never","Never","Never","Never","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","","1 (Not Severe at All)","","1 (Not Severe at All)","","1 (Not Severe at All)","","1 (Not Severe at All)","","1 (Not Severe at All)","","1 (Not Severe at All)","","1 (Not Severe at All)","","1 (Not Severe at All)","","1 (Not Severe at All)","","1 (Not Severe at All)","","1 (Not Severe at All)","","1 (Not Severe at All)","","1 (Not Severe at All)","","1 (Not Severe at All)","","Female","","18 - 25 years old","No","No","No","Yes","No","No"
"89","1980-01-01 00:00:00","6","en","611698068","","Yes","No","Yes","No","5 to 10 hours","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Initiator","I don't play ranked.","","7 (Extremely Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Neutral","Strongly agree","Strongly agree","Disagree","Strongly agree","Always","Always","Sometimes","Sometimes","Often","Often","Sometimes","Strongly disagree","Agree","Agree","Neutral","Agree","Agree","Disagree","","5 (Severe)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","Female","","18 - 25 years old","No","No","No","Yes","No","No"
"94","1980-01-01 00:00:00","6","en","621649055","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Controller","Platinum-Diamond","","6 (Very Severe)","7 (Extremely Severe)","4 (Moderate)","5 (Severe)","4 (Moderate)","3 (Mild)","7 (Extremely Severe)","6 (Very Severe)","Agree","Agree","Strongly disagree","Neutral","Disagree","Often","Sometimes","Never","Never","Never","Never","Never","Disagree","Neutral","Agree","Agree","Disagree","Neutral","Strongly agree","","3 (Mild)","Real","2 (Very Mild)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Not Real","3 (Mild)","Not Real","4 (Moderate)","Not Real","5 (Severe)","Not Real","2 (Very Mild)","Real","4 (Moderate)","Not Real","6 (Very Severe)","Not Real","7 (Extremely Severe)","Not Real","6 (Very Severe)","Real","2 (Very Mild)","Real","2 (Very Mild)","Real","Male","","18 - 25 years old","No","No","No","Yes","No","No"
"95","1980-01-01 00:00:00","6","en","1407911749","","Yes","No","Yes","No","More than 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Controller","Immortal2-Immortal3","","6 (Very Severe)","6 (Very Severe)","4 (Moderate)","5 (Severe)","4 (Moderate)","4 (Moderate)","6 (Very Severe)","1 (Not Severe at All)","Agree","Neutral","Strongly disagree","Neutral","Disagree","Sometimes","Sometimes","Never","Never","Always","Always","Never","Neutral","Agree","Disagree","Agree","Strongly disagree","Neutral","Neutral","","1 (Not Severe at All)","Real","4 (Moderate)","Real","3 (Mild)","Real","4 (Moderate)","Real","5 (Severe)","Real","3 (Mild)","Real","4 (Moderate)","Real","4 (Moderate)","Real","4 (Moderate)","Real","5 (Severe)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","3 (Mild)","Real","4 (Moderate)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"96","1980-01-01 00:00:00","6","en","2134204803","","Yes","No","Yes","No","Less than 5 hours","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Controller","Silver-Gold","","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Always","Always","Always","Sometimes","Always","Always","Sometimes","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Disagree","","2 (Very Mild)","","2 (Very Mild)","","4 (Moderate)","","7 (Extremely Severe)","","3 (Mild)","","","","3 (Mild)","","7 (Extremely Severe)","","4 (Moderate)","","7 (Extremely Severe)","","7 (Extremely Severe)","","7 (Extremely Severe)","","3 (Mild)","","2 (Very Mild)","","Female","","25 - 35 years old","No","No","No","Yes","No","No"
"98","1980-01-01 00:00:00","6","en","309252237","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Not involved (""just"" playing)","Yes","Yes, I strongly identify as a gamer.","Duelist","Iron-Bronze","","1 (Not Severe at All)","1 (Not Severe at All)","4 (Moderate)","5 (Severe)","4 (Moderate)","6 (Very Severe)","2 (Very Mild)","4 (Moderate)","Neutral","Strongly agree","Agree","Disagree","Agree","Rarely","Sometimes","Never","Never","Sometimes","Sometimes","Never","Disagree","Agree","Agree","Disagree","Disagree","Agree","Neutral","","3 (Mild)","Real","3 (Mild)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","3 (Mild)","Real","5 (Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Not Real","5 (Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","Female","","18 - 25 years old","No","No","No","Yes","No","No"
"99","1980-01-01 00:00:00","6","en","637370787","","Yes","No","Yes","No","Less than 5 hours","No","No","No","No","Yes","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Somewhat, I identify as a gamer in certain contexts.","Sentinel","Iron-Bronze","","6 (Very Severe)","5 (Severe)","5 (Severe)","6 (Very Severe)","4 (Moderate)","5 (Severe)","5 (Severe)","3 (Mild)","Agree","Strongly agree","Disagree","Neutral","Agree","Sometimes","Often","Rarely","Rarely","Always","Always","Never","Strongly disagree","Neutral","Agree","Disagree","Disagree","Agree","Disagree","","1 (Not Severe at All)","Real","2 (Very Mild)","Real","3 (Mild)","Real","6 (Very Severe)","Not Real","","Real","2 (Very Mild)","Real","3 (Mild)","Real","6 (Very Severe)","Not Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Not Real","4 (Moderate)","Real","3 (Mild)","Real","2 (Very Mild)","Real","Male","","Under 18 years old","No","No","No","Yes","No","No"
"100","1980-01-01 00:00:00","6","en","1382447173","","Yes","No","Yes","No","More than 20 hours","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Controller","Silver-Gold","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","Agree","Strongly agree","Disagree","Disagree","Agree","Often","Often","Sometimes","Sometimes","Always","Always","Rarely","Strongly disagree","Agree","Agree","Disagree","Disagree","Neutral","Agree","","","Real","4 (Moderate)","Real","5 (Severe)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","5 (Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","Male","","18 - 25 years old","No","No","Yes","No","No","No"
"101","1980-01-01 00:00:00","6","en","1388313726","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Controller","Iron-Bronze","","1 (Not Severe at All)","1 (Not Severe at All)","2 (Very Mild)","3 (Mild)","3 (Mild)","3 (Mild)","1 (Not Severe at All)","2 (Very Mild)","Neutral","Strongly agree","Neutral","Disagree","Agree","Always","Always","Never","Never","Rarely","Rarely","Never","Strongly disagree","Disagree","Strongly agree","Agree","Neutral","Neutral","Neutral","","4 (Moderate)","Real","4 (Moderate)","Not Real","5 (Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","4 (Moderate)","Not Real","4 (Moderate)","Real","4 (Moderate)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","Male","","18 - 25 years old","No","No","No","Yes","No","No"
"102","1980-01-01 00:00:00","6","en","2126462425","","Yes","No","Yes","No","More than 20 hours","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Somewhat, I identify as a gamer in certain contexts.","Duelist","Silver-Gold","","5 (Severe)","5 (Severe)","6 (Very Severe)","6 (Very Severe)","5 (Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","Neutral","Strongly agree","Strongly agree","Disagree","Strongly agree","Always","Always","Never","Often","Often","","Rarely","Strongly disagree","Neutral","Strongly agree","Disagree","Agree","Strongly agree","Strongly disagree","","3 (Mild)","Real","4 (Moderate)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Not Real","5 (Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","Female","","Under 18 years old","Yes","No","No","No","No","No"
"103","1980-01-01 00:00:00","6","en","1442613353","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Initiator","Silver-Gold","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Disagree","Neutral","Neutral","Disagree","Neutral","","Often","Sometimes","Sometimes","Always","Always","Sometimes","Strongly disagree","Neutral","Agree","Neutral","Neutral","Agree","Agree","","1 (Not Severe at All)","Real","3 (Mild)","Real","4 (Moderate)","Real","5 (Severe)","Real","3 (Mild)","Real","3 (Mild)","Real","4 (Moderate)","Real","5 (Severe)","Real","3 (Mild)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","3 (Mild)","Real","3 (Mild)","Real","5 (Severe)","Real","Male","","25 - 35 years old","No","No","No","Yes","No","No"
"104","1980-01-01 00:00:00","6","en","109268626","","Yes","No","Yes","No","More than 20 hours","Yes","No","No","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Duelist","Ascendant-Immortal1","","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","3 (Mild)","3 (Mild)","7 (Extremely Severe)","3 (Mild)","Strongly agree","Strongly agree","Neutral","Disagree","Neutral","Always","Always","Always","Sometimes","Always","Always","Rarely","Strongly disagree","Strongly agree","Strongly agree","Agree","Neutral","Neutral","Agree","","3 (Mild)","","3 (Mild)","","3 (Mild)","","6 (Very Severe)","","3 (Mild)","","5 (Severe)","","4 (Moderate)","","5 (Severe)","","4 (Moderate)","","5 (Severe)","","7 (Extremely Severe)","","5 (Severe)","","4 (Moderate)","","3 (Mild)","","Female","","Under 18 years old","No","No","No","Yes","No","No"
"106","1980-01-01 00:00:00","6","en","1822651921","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","Initiator","I don't play ranked.","","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","6 (Very Severe)","Agree","Strongly agree","Agree","Disagree","Strongly agree","Always","Always","Often","Sometimes","Often","Often","Rarely","Strongly disagree","Disagree","Neutral","Neutral","Disagree","Agree","Disagree","","2 (Very Mild)","Real","1 (Not Severe at All)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","4 (Moderate)","Real","5 (Severe)","Real","2 (Very Mild)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","Female","","25 - 35 years old","Yes","No","No","No","No","No"
"107","1980-01-01 00:00:00","6","en","1271694422","","Yes","No","Yes","No","5 to 10 hours","No","No","No","No","Yes","Not involved (""just"" playing)","No","Yes, I strongly identify as a gamer.","Controller","Iron-Bronze","","1 (Not Severe at All)","1 (Not Severe at All)","3 (Mild)","3 (Mild)","1 (Not Severe at All)","3 (Mild)","1 (Not Severe at All)","3 (Mild)","Agree","Agree","Strongly disagree","Disagree","Strongly agree","Often","Often","Never","Never","Often","Often","Never","Strongly disagree","Agree","Agree","Disagree","Disagree","Neutral","Agree","","2 (Very Mild)","Real","4 (Moderate)","Real","5 (Severe)","Not Real","5 (Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","3 (Mild)","Real","5 (Severe)","Not Real","5 (Severe)","Real","5 (Severe)","Not Real","7 (Extremely Severe)","Not Real","4 (Moderate)","Real","5 (Severe)","Not Real","4 (Moderate)","Real","Male","","18 - 25 years old","No","No","No","Yes","No","No"
"108","1980-01-01 00:00:00","6","en","190652087","","Yes","No","Yes","No","10 to 20 hours","No","No","No","No","Yes","Not involved (""just"" playing)","Yes","Yes, I strongly identify as a gamer.","Duelist","Silver-Gold","","2 (Very Mild)","2 (Very Mild)","3 (Mild)","7 (Extremely Severe)","4 (Moderate)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","Agree","Strongly agree","Neutral","Neutral","Agree","Always","Often","Often","Sometimes","Always","Always","Rarely","Disagree","Strongly agree","Neutral","Strongly agree","Disagree","Agree","Strongly agree","","4 (Moderate)","Real","2 (Very Mild)","Real","6 (Very Severe)","Real","3 (Mild)","Real","1 (Not Severe at All)","Not Real","2 (Very Mild)","Real","2 (Very Mild)","Real","3 (Mild)","Real","6 (Very Severe)","Real","5 (Severe)","Not Real","7 (Extremely Severe)","Not Real","1 (Not Severe at All)","Real","2 (Very Mild)","Real","2 (Very Mild)","Real","Female","","18 - 25 years old","Yes","No","No","No","No","No"
"109","1980-01-01 00:00:00","6","en","32589564","","Yes","No","Yes","No","Less than 5 hours","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","Duelist","Iron-Bronze","","4 (Moderate)","5 (Severe)","4 (Moderate)","5 (Severe)","4 (Moderate)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","Strongly agree","Strongly agree","Strongly disagree","Agree","Neutral","","Often","Never","Never","Often","Rarely","Never","Strongly disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","","4 (Moderate)","Not Real","4 (Moderate)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Not Real","","","6 (Very Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","Male","","Under 18 years old","No","Yes","No","No","No","No"
