"id","submitdate","lastpage","startlanguage","seed","G01Q18","proceed","second","G01Q01[SQ001]","G01Q01[SQ002]","G01Q01[SQ003]","G01Q02","G01Q03[SQ001]","G01Q03[SQ002]","G01Q03[SQ005]","G01Q03[SQ003]","G01Q03[SQ004]","G01Q03[SQ006]","G01Q04","G01Q05","G01Q06","G03Q13","G02Q10[SQ001]","G02Q10[SQ002]","G02Q10[SQ003]","G02Q10[SQ004]","G02Q10[SQ005]","G02Q10[SQ008]","G02Q10[SQ006]","G02Q10[SQ007]","G03Q12[SQ001]","G03Q12[SQ005]","G03Q12[SQ002]","G03Q12[SQ003]","G03Q12[SQ004]","G05Q16[SQ001]","G05Q16[SQ002]","G05Q16[SQ007]","G05Q16[SQ008]","G05Q16[SQ003]","G05Q16[SQ004]","G05Q16[SQ005]","G05Q16[SQ006]","G04Q14[SQ001]","G04Q14[SQ002]","G04Q14[SQ003]","G04Q14[SQ004]","G04Q14[SQ005]","G04Q14[SQ007]","G04Q14[SQ006]","G05Q19","G04Q17[SQ001][1]","G04Q17[SQ001][2]","G04Q17[SQ002][1]","G04Q17[SQ002][2]","G04Q17[SQ003][1]","G04Q17[SQ003][2]","G04Q17[SQ004][1]","G04Q17[SQ004][2]","G04Q17[SQ005][1]","G04Q17[SQ005][2]","G04Q17[SQ006][1]","G04Q17[SQ006][2]","G04Q17[SQ007][1]","G04Q17[SQ007][2]","G04Q17[SQ008][1]","G04Q17[SQ008][2]","G04Q17[SQ009][1]","G04Q17[SQ009][2]","G04Q17[SQ010][1]","G04Q17[SQ010][2]","G04Q17[SQ011][1]","G04Q17[SQ011][2]","G04Q17[SQ012][1]","G04Q17[SQ012][2]","G04Q17[SQ013][1]","G04Q17[SQ013][2]","G04Q17[SQ014][1]","G04Q17[SQ014][2]","G06Q17","G06Q17[other]","G07Q20","G01Q21[SQ001]","G01Q21[SQ002]","G01Q21[SQ003]","G01Q21[SQ004]","G01Q21[SQ005]","G01Q21[SQ007]"
"40","1980-01-01 00:00:00","6","en","712918634","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","No","No","Yes","Not involved (""just"" playing)","No","Somewhat, I identify as a gamer in certain contexts.","","5 (Severe)","2 (Very Mild)","6 (Very Severe)","6 (Very Severe)","3 (Mild)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","Agree","Agree","Disagree","Neutral","Disagree","Always","Always","Sometimes","Sometimes","Often","Often","Sometimes","Sometimes","Strongly disagree","Neutral","Disagree","Agree","Strongly disagree","Disagree","Neutral","","3 (Mild)","Real","6 (Very Severe)","Real","4 (Moderate)","Not Real","4 (Moderate)","Real","4 (Moderate)","Real","3 (Mild)","Real","6 (Very Severe)","Real","6 (Very Severe)","Not Real","5 (Severe)","Real","6 (Very Severe)","Not Real","5 (Severe)","Not Real","4 (Moderate)","","5 (Severe)","Real","4 (Moderate)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"41","1980-01-01 00:00:00","6","en","1839909760","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","4 (Moderate)","5 (Severe)","7 (Extremely Severe)","4 (Moderate)","Agree","Agree","Disagree","Neutral","Agree","Sometimes","Often","Sometimes","Often","Always","Always","Always","Rarely","Strongly disagree","Agree","Strongly agree","Disagree","Agree","Neutral","Agree","","4 (Moderate)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Not Real","7 (Extremely Severe)","Real","4 (Moderate)","Not Real","5 (Severe)","Real","5 (Severe)","Real","3 (Mild)","Not Real","6 (Very Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"42","1980-01-01 00:00:00","6","en","578719825","","Yes","Yes","No","No","No","","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3 (Mild)","Real","4 (Moderate)","Real","","","7 (Extremely Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","","","4 (Moderate)","Real","4 (Moderate)","Real","Female","","18 - 25 years old","Yes","No","No","No","No","No"
"43","1980-01-01 00:00:00","6","en","1643570119","","Yes","No","Yes","No","No","Less than 5 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","","2 (Very Mild)","2 (Very Mild)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","3 (Mild)","6 (Very Severe)","Neutral","Strongly agree","Agree","Strongly disagree","Strongly agree","Often","Often","Always","Sometimes","Always","Often","Always","Sometimes","Strongly disagree","Strongly agree","Agree","Neutral","Agree","Agree","Disagree","","3 (Mild)","","3 (Mild)","","5 (Severe)","","6 (Very Severe)","","5 (Severe)","","5 (Severe)","","4 (Moderate)","","6 (Very Severe)","","3 (Mild)","","7 (Extremely Severe)","","7 (Extremely Severe)","","4 (Moderate)","","4 (Moderate)","","2 (Very Mild)","","Female","","18 - 25 years old","Yes","No","No","No","No","No"
"44","1980-01-01 00:00:00","6","en","2072784381","","Yes","No","Yes","No","Yes","10 to 20 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","5 (Severe)","4 (Moderate)","6 (Very Severe)","7 (Extremely Severe)","3 (Mild)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","Agree","Strongly agree","Strongly disagree","Neutral","Agree","Rarely","Sometimes","Rarely","Never","Often","Sometimes","Rarely","Rarely","Disagree","Agree","Agree","Neutral","Neutral","Disagree","Strongly agree","","1 (Not Severe at All)","Real","2 (Very Mild)","Real","5 (Severe)","Real","6 (Very Severe)","Real","4 (Moderate)","Real","","","4 (Moderate)","Real","4 (Moderate)","Not Real","4 (Moderate)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","3 (Mild)","Real","4 (Moderate)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"45","1980-01-01 00:00:00","6","en","2009889687","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","Yes","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Neutral","Agree","Neutral","Disagree","Agree","Sometimes","Sometimes","Often","Often","Always","Always","Sometimes","Sometimes","Strongly disagree","Disagree","Strongly agree","Strongly disagree","Agree","Neutral","Agree","","5 (Severe)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","","","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"46","1980-01-01 00:00:00","6","en","930599457","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Not involved (""just"" playing)","No","Yes, I strongly identify as a gamer.","","1 (Not Severe at All)","1 (Not Severe at All)","4 (Moderate)","4 (Moderate)","6 (Very Severe)","2 (Very Mild)","1 (Not Severe at All)","5 (Severe)","Strongly agree","Neutral","Strongly disagree","Disagree","Disagree","Often","Often","Never","Never","Never","Never","Never","Never","Disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Disagree","Neutral","","2 (Very Mild)","Real","2 (Very Mild)","Real","6 (Very Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","5 (Severe)","Not Real","4 (Moderate)","Real","5 (Severe)","Not Real","4 (Moderate)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Not Real","5 (Severe)","Real","4 (Moderate)","Real","5 (Severe)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"48","1980-01-01 00:00:00","6","en","2140312168","","Yes","No","Yes","No","No","Less than 5 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","","6 (Very Severe)","5 (Severe)","4 (Moderate)","7 (Extremely Severe)","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","3 (Mild)","Agree","Strongly agree","Disagree","Disagree","Agree","Often","Often","Sometimes","Sometimes","Always","Always","Sometimes","Sometimes","Disagree","Agree","Neutral","Neutral","Disagree","Agree","Neutral","","3 (Mild)","Real","3 (Mild)","Real","5 (Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","3 (Mild)","Real","3 (Mild)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"49","1980-01-01 00:00:00","6","en","365172536","","Yes","No","Yes","No","No","5 to 10 hours","No","No","No","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","Yes","Yes, I strongly identify as a gamer.","","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","Neutral","Agree","Strongly disagree","Disagree","Agree","Always","Always","Often","Never","Always","Often","Often","Never","Strongly disagree","Strongly agree","Agree","Disagree","Strongly disagree","Neutral","Agree","","5 (Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","","","4 (Moderate)","Real","7 (Extremely Severe)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Not Real","1 (Not Severe at All)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"50","1980-01-01 00:00:00","6","en","538976844","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","Yes","Yes","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","Agree","Strongly agree","Agree","Neutral","Neutral","Always","Always","Often","Often","Often","Often","Often","Often","Strongly disagree","Neutral","Agree","Strongly disagree","Agree","Strongly agree","Disagree","","4 (Moderate)","Real","3 (Mild)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","","","6 (Very Severe)","Real","7 (Extremely Severe)","Not Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"51","1980-01-01 00:00:00","6","en","1650220667","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","Yes","Yes, I strongly identify as a gamer.","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","3 (Mild)","7 (Extremely Severe)","4 (Moderate)","Agree","Neutral","Strongly agree","Agree","Neutral","Sometimes","Always","Rarely","Rarely","Always","Always","Rarely","Rarely","Neutral","Agree","Agree","Disagree","Strongly disagree","Neutral","Strongly agree","","1 (Not Severe at All)","Real","2 (Very Mild)","Real","3 (Mild)","Real","7 (Extremely Severe)","Real","2 (Very Mild)","Real","1 (Not Severe at All)","Real","5 (Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"54","1980-01-01 00:00:00","6","en","1038554459","","Yes","No","Yes","No","No","5 to 10 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","6 (Very Severe)","3 (Mild)","5 (Severe)","5 (Severe)","3 (Mild)","4 (Moderate)","2 (Very Mild)","2 (Very Mild)","Strongly agree","Agree","Neutral","Agree","Neutral","Always","Always","Sometimes","Sometimes","Often","Sometimes","Rarely","Never","Strongly disagree","Disagree","Agree","Disagree","Neutral","Agree","Neutral","","3 (Mild)","Real","5 (Severe)","Real","5 (Severe)","Not Real","5 (Severe)","Real","2 (Very Mild)","Not Real","2 (Very Mild)","Not Real","3 (Mild)","Not Real","5 (Severe)","Real","4 (Moderate)","Real","5 (Severe)","Not Real","6 (Very Severe)","Real","4 (Moderate)","Real","3 (Mild)","Not Real","3 (Mild)","Not Real","Non-binary","","18 - 25 years old","Yes","No","No","No","No","No"
"57","1980-01-01 00:00:00","6","en","878490236","","Yes","No","No","Yes","Yes","More than 20 hours","No","No","Yes","No","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","1 (Not Severe at All)","1 (Not Severe at All)","3 (Mild)","3 (Mild)","3 (Mild)","3 (Mild)","2 (Very Mild)","4 (Moderate)","Strongly agree","Strongly agree","Disagree","Neutral","Disagree","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Strongly disagree","Agree","Neutral","Neutral","Disagree","Agree","Disagree","","1 (Not Severe at All)","Real","2 (Very Mild)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","5 (Severe)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","3 (Mild)","Not Real","5 (Severe)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"59","1980-01-01 00:00:00","6","en","696106878","","Yes","No","Yes","Yes","No","10 to 20 hours","No","No","No","No","Yes","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","Yes","Somewhat, I identify as a gamer in certain contexts.","","5 (Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","6 (Very Severe)","7 (Extremely Severe)","5 (Severe)","Disagree","Strongly agree","Agree","Disagree","Agree","Never","Often","Often","Often","Always","Always","Rarely","Rarely","Strongly disagree","Agree","Neutral","Neutral","Disagree","Agree","Disagree","","4 (Moderate)","Real","5 (Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","5 (Severe)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"60","1980-01-01 00:00:00","6","en","1240141979","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","6 (Very Severe)","5 (Severe)","4 (Moderate)","6 (Very Severe)","6 (Very Severe)","Strongly agree","Agree","Disagree","Disagree","Agree","Often","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Never","Never","Strongly disagree","Neutral","Agree","Disagree","Disagree","Neutral","Agree","","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","3 (Mild)","Real","6 (Very Severe)","Real","5 (Severe)","Real","","","4 (Moderate)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","6 (Very Severe)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"61","1980-01-01 00:00:00","6","en","1076859590","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","No","Yes","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","","6 (Very Severe)","6 (Very Severe)","7 (Extremely Severe)","6 (Very Severe)","4 (Moderate)","5 (Severe)","6 (Very Severe)","5 (Severe)","Strongly agree","Neutral","Disagree","Neutral","Strongly disagree","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Strongly disagree","Agree","Agree","Agree","Strongly disagree","Agree","Disagree","","2 (Very Mild)","Real","4 (Moderate)","Real","5 (Severe)","Not Real","2 (Very Mild)","Real","3 (Mild)","Not Real","4 (Moderate)","","5 (Severe)","Real","6 (Very Severe)","Not Real","5 (Severe)","Not Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","","Not Real","5 (Severe)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"62","1980-01-01 00:00:00","6","en","789573713","","Yes","No","Yes","No","No","10 to 20 hours","Yes","No","No","No","No","No","Not involved (""just"" playing)","No","Somewhat, I identify as a gamer in certain contexts.","","1 (Not Severe at All)","1 (Not Severe at All)","4 (Moderate)","4 (Moderate)","1 (Not Severe at All)","1 (Not Severe at All)","3 (Mild)","1 (Not Severe at All)","Neutral","Agree","Disagree","Agree","Disagree","Always","Always","Often","Often","Often","Often","Rarely","Rarely","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Disagree","","4 (Moderate)","","4 (Moderate)","","4 (Moderate)","","3 (Mild)","","4 (Moderate)","","4 (Moderate)","","4 (Moderate)","","3 (Mild)","","4 (Moderate)","","4 (Moderate)","","5 (Severe)","","5 (Severe)","","5 (Severe)","","4 (Moderate)","","Male","","Over 35 years old","Yes","No","No","No","No","No"
"64","1980-01-01 00:00:00","6","en","289392650","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","No","Yes","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","3 (Mild)","3 (Mild)","3 (Mild)","5 (Severe)","3 (Mild)","3 (Mild)","5 (Severe)","3 (Mild)","Neutral","Agree","Strongly disagree","Neutral","Agree","Rarely","Often","Often","Often","Always","Always","Rarely","Rarely","Strongly disagree","Disagree","Agree","Disagree","Neutral","Agree","Disagree","","1 (Not Severe at All)","Real","5 (Severe)","Real","4 (Moderate)","Real","3 (Mild)","Real","4 (Moderate)","Not Real","3 (Mild)","Not Real","6 (Very Severe)","Real","5 (Severe)","Not Real","6 (Very Severe)","Not Real","7 (Extremely Severe)","Not Real","7 (Extremely Severe)","Not Real","3 (Mild)","Real","4 (Moderate)","Not Real","5 (Severe)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"65","1980-01-01 00:00:00","6","en","909342184","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","Yes","No","No","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","Strongly agree","Strongly agree","Agree","Disagree","Agree","Always","Always","Often","Often","Always","Always","Always","Always","Strongly disagree","Neutral","Strongly agree","Strongly disagree","Agree","Agree","Disagree","","4 (Moderate)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"66","1980-01-01 00:00:00","6","en","1650882129","","Yes","No","Yes","No","Yes","10 to 20 hours","No","No","Yes","Yes","No","No","Passive Participant (Reading posts, Attending Events, ...)","No","Somewhat, I identify as a gamer in certain contexts.","","3 (Mild)","2 (Very Mild)","5 (Severe)","5 (Severe)","5 (Severe)","5 (Severe)","7 (Extremely Severe)","5 (Severe)","Disagree","Neutral","Disagree","Disagree","Disagree","Often","Often","Rarely","Often","Sometimes","Sometimes","Never","Never","Strongly disagree","Agree","Disagree","Agree","Strongly disagree","Disagree","Agree","","3 (Mild)","Real","4 (Moderate)","Real","4 (Moderate)","Real","5 (Severe)","Real","5 (Severe)","Real","","Not Real","","Not Real","","Not Real","","Not Real","","Not Real","6 (Very Severe)","Real","3 (Mild)","Real","3 (Mild)","Real","3 (Mild)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"67","1980-01-01 00:00:00","6","en","1656466446","","Yes","No","Yes","Yes","No","10 to 20 hours","No","No","No","No","No","Yes","Active Participant (Posting, Organizing Events, Moderating Communities, ...)","No","Yes, I strongly identify as a gamer.","","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","5 (Severe)","Strongly agree","Agree","Disagree","Agree","Strongly disagree","Always","Always","Always","Always","Always","Always","Always","Always","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Disagree","Strongly agree","Strongly disagree","","2 (Very Mild)","Real","3 (Mild)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","3 (Mild)","Real","7 (Extremely Severe)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"68","1980-01-01 00:00:00","6","en","1227398390","","Yes","Yes","No","No","No","","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2 (Very Mild)","Real","","","3 (Mild)","Real","7 (Extremely Severe)","Not Real","","","","","4 (Moderate)","Not Real","4 (Moderate)","Not Real","7 (Extremely Severe)","Not Real","","","7 (Extremely Severe)","Not Real","","","4 (Moderate)","Not Real","3 (Mild)","Not Real","Female","","18 - 25 years old","No","No","No","Yes","No","No"
"69","1980-01-01 00:00:00","6","en","419852431","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","No","No","Yes","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","5 (Severe)","5 (Severe)","3 (Mild)","5 (Severe)","4 (Moderate)","4 (Moderate)","6 (Very Severe)","4 (Moderate)","Agree","Neutral","Strongly disagree","Agree","Strongly disagree","Rarely","Rarely","Never","Never","Rarely","Rarely","Never","Never","Disagree","Neutral","Neutral","Neutral","Disagree","Neutral","Agree","","4 (Moderate)","Real","3 (Mild)","Real","5 (Severe)","Real","6 (Very Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","5 (Severe)","Real","4 (Moderate)","Real","6 (Very Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","3 (Mild)","Real","2 (Very Mild)","Real","Male","","18 - 25 years old","Yes","No","No","Yes","No","No"
"70","1980-01-01 00:00:00","6","en","289192900","","Yes","No","Yes","No","No","10 to 20 hours","No","No","No","Yes","No","No","Not involved (""just"" playing)","No","Yes, I strongly identify as a gamer.","","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","7 (Extremely Severe)","6 (Very Severe)","4 (Moderate)","7 (Extremely Severe)","2 (Very Mild)","Agree","Neutral","Strongly disagree","Disagree","Strongly disagree","Always","Always","Rarely","Rarely","Always","Always","Rarely","Rarely","Neutral","Agree","Agree","Strongly agree","Disagree","Agree","Neutral","","5 (Severe)","Real","2 (Very Mild)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","3 (Mild)","Real","5 (Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","2 (Very Mild)","Real","6 (Very Severe)","Real","6 (Very Severe)","Real","Male","","25 - 35 years old","Yes","No","No","No","No","No"
"71","1980-01-01 00:00:00","6","en","153628039","","Yes","No","Yes","No","No","More than 20 hours","Yes","No","Yes","No","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","6 (Very Severe)","3 (Mild)","7 (Extremely Severe)","5 (Severe)","6 (Very Severe)","5 (Severe)","3 (Mild)","4 (Moderate)","Strongly agree","Agree","Neutral","Neutral","Agree","Always","Always","Never","Often","Often","Often","Never","Never","Strongly disagree","Strongly agree","Neutral","Neutral","Disagree","Agree","Strongly agree","","1 (Not Severe at All)","Real","1 (Not Severe at All)","Real","3 (Mild)","Real","6 (Very Severe)","Real","2 (Very Mild)","Real","1 (Not Severe at All)","Not Real","4 (Moderate)","Real","5 (Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","6 (Very Severe)","Real","2 (Very Mild)","Real","3 (Mild)","Real","Male","","18 - 25 years old","Yes","No","No","No","No","No"
"72","1980-01-01 00:00:00","6","en","936689441","","Yes","No","Yes","No","No","More than 20 hours","No","No","No","Yes","Yes","No","Passive Participant (Reading posts, Attending Events, ...)","No","Yes, I strongly identify as a gamer.","","5 (Severe)","4 (Moderate)","7 (Extremely Severe)","6 (Very Severe)","7 (Extremely Severe)","7 (Extremely Severe)","3 (Mild)","6 (Very Severe)","Strongly agree","Strongly agree","Agree","Disagree","Agree","Often","Sometimes","Rarely","Rarely","Often","Often","Rarely","Rarely","Strongly disagree","Disagree","Agree","Disagree","Strongly disagree","Agree","Disagree","","4 (Moderate)","Real","2 (Very Mild)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","1 (Not Severe at All)","Not Real","3 (Mild)","Real","6 (Very Severe)","Real","5 (Severe)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","3 (Mild)","Real","4 (Moderate)","Real","5 (Severe)","Real","Non-binary","","18 - 25 years old","Yes","No","No","No","No","No"
"73","1980-01-01 00:00:00","6","en","1665306288","","Yes","Yes","No","No","No","","No","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2 (Very Mild)","Real","","","6 (Very Severe)","Real","5 (Severe)","Real","4 (Moderate)","Real","4 (Moderate)","Real","","","7 (Extremely Severe)","Real","4 (Moderate)","Real","7 (Extremely Severe)","Real","7 (Extremely Severe)","Real","5 (Severe)","Real","3 (Mild)","Real","5 (Severe)","Real","Non-binary","","25 - 35 years old","Yes","No","No","No","No","No"
